vorname,anzahl,geschlecht,position
Marvel,1,m,2
Matilde,1,w,2
Mathias,1,m,2
Małgorzata,1,w,2
Mathis,1,m,2
Melia,1,w,2
Matias,1,m,2
Melody,1,w,2
Mato,1,m,2
Merira,1,w,2
Mattias,1,m,2
Merle,1,w,2
Mattis,1,m,2
Meyra,1,w,2
Max,1,m,2
Mezhdin,1,w,2
Maximilan,1,m,2
Michelle,1,w,2
Menduh,1,m,2
Mikhailovna,1,w,2
Meral,1,m,2
Mila,1,w,2
Mert,1,m,2
Milica,1,w,2
Michel,1,m,2
Mina,1,w,2
Mika,1,m,2
Minerva,1,w,2
Miran,1,m,2
Mohamad,1,w,2
Miroslavov,1,m,2
Mohammad,1,w,2
Mirsad,1,m,2
Momo,1,w,2
Moise,1,m,2
Mona,1,w,2
Morwan,1,m,2
Mour,1,w,2
Muharrem,1,m,2
Moyinoluwa,1,w,2
Mukhtar,1,m,2
Mélaine,1,w,2
Muradif,1,m,2
Münevver,1,w,2
Murat,1,m,2
Nana,1,w,2
Musa,1,m,2
Natalie,1,w,2
Mustafa,1,m,2
Nayirah,1,w,2
Mykolaevič,1,m,2
Nazar,1,w,2
Mühttin,1,m,2
Necmiye,1,w,2
Nantwi,1,m,2
Nefise,1,w,2
Nash,1,m,2
Nenova,1,w,2
Nathaniel,1,m,2
Nezire,1,w,2
Nedzhatinov,1,m,2
Nicki,1,w,2
Nelson,1,m,2
Nicole,1,w,2
Neo,1,m,2
Nida,1,w,2
Nezhdet,1,m,2
Nikolayeva,1,w,2
Nicholas,1,m,2
Nivin,1,w,2
Nico,1,m,2
Noa,1,w,2
Nidal,1,m,2
Nour,1,w,2
Niels,1,m,2
Nova,1,w,2
Niklas,1,m,2
Nwachinaemere,1,w,2
Niko,1,m,2
Ognyanova,1,w,2
Nikolaev,1,m,2
Olivia,1,w,2
Noel,1,m,2
Oliwia,1,w,2
Nolan,1,m,2
Oluwapelumi,1,w,2
Noé,1,m,2
Orchel,1,w,2
Nuri,1,m,2
Osinachi,1,w,2
Nwaoha,1,m,2
Padme,1,w,2
Oguzhan,1,m,2
Paola,1,w,2
Oliver,1,m,2
Paulina,1,w,2
Olof,1,m,2
Paz,1,w,2
Olufemi,1,m,2
Peaches,1,w,2
Omar,1,m,2
Peppa,1,w,2
Oscar,1,m,2
Piya,1,w,2
Otto,1,m,2
Pop,1,w,2
Oğuz,1,m,2
Priya,1,w,2
Pauli,1,m,2
Rae,1,w,2
Pekko,1,m,2
Rahela,1,w,2
Pepe,1,m,2
Rakesh,1,w,2
Pete,1,m,2
Rebecca,1,w,2
Phi,1,m,2
Regine,1,w,2
Philipp,1,m,2
Renata,1,w,2
Phillipp,1,m,2
Reyyan,1,w,2
Pierre,1,m,2
Riley,1,w,2
Pollux,1,m,2
Ritha,1,w,2
Quirin,1,m,2
Roja,1,w,2
Rafael,1,m,2
Rosalie,1,w,2
Rahman,1,m,2
Rosemarie,1,w,2
Ramazanovič,1,m,2
Rosemary,1,w,2
Raven,1,m,2
Roswitha,1,w,2
Razvan,1,m,2
Rosè,1,w,2
Remus,1,m,2
Roşna,1,w,2
René,1,m,2
Rumiko,1,w,2
Rida,1,m,2
Runa,1,w,2
Rifet,1,m,2
Ruth,1,w,2
Riyaz,1,m,2
Sabine,1,w,2
Rocko,1,m,2
Sadat,1,w,2
Rohan,1,m,2
Salomea,1,w,2
Roland,1,m,2
Samanta,1,w,2
Rowan,1,m,2
Samantha,1,w,2
Rudolf,1,m,2
Sara,1,w,2
Ryan,1,m,2
Savitri,1,w,2
Ryszard,1,m,2
Scarlett,1,w,2
Rüzgar,1,m,2
Sebaydin,1,w,2
Sadi,1,m,2
Sefora,1,w,2
Said,1,m,2
Seher,1,w,2
Saied,1,m,2
Selda,1,w,2
Salamon,1,m,2
Sephora,1,w,2
Salomo,1,m,2
Sevdalinova,1,w,2
Samet,1,m,2
Sevgi,1,w,2
Sami,1,m,2
Shehrazad,1,w,2
Sammy,1,m,2
Sherin,1,w,2
Samur,1,m,2
Sibyll,1,w,2
Santiago,1,m,2
Sidra,1,w,2
Santino,1,m,2
Silvia,1,w,2
Sascha,1,m,2
Sokeng,1,w,2
Savaş,1,m,2
Soleiń,1,w,2
Sayf,1,m,2
Solveig,1,w,2
Sebastian,1,m,2
Songül,1,w,2
Sekani,1,m,2
Stella,1,w,2
Sepp,1,m,2
Sue,1,w,2
Sergey,1,m,2
Sultan,1,w,2
Sezerov,1,m,2
Sylvana,1,w,2
Shahin,1,m,2
Synnøve,1,w,2
Shane,1,m,2
Talvi,1,w,2
Shinji,1,m,2
Tamina,1,w,2
Sila,1,m,2
Temilade,1,w,2
Silas,1,m,2
Temitade,1,w,2
Silviyov,1,m,2
Thandiwe,1,w,2
Simeon,1,m,2
Thora,1,w,2
Simeonov,1,m,2
Tianna,1,w,2
Sirius,1,m,2
Tiia,1,w,2
Skylar,1,m,2
Tomris,1,w,2
Stoyanov,1,m,2
Topeca,1,w,2
Stoychev,1,m,2
Uma,1,w,2
Sunay,1,m,2
Valea,1,w,2
Sören,1,m,2
Valentina,1,w,2
Süleyman,1,m,2
Valentinova,1,w,2
Tamer,1,m,2
Vanessa,1,w,2
Taqi,1,m,2
Vera,1,w,2
Tarik,1,m,2
Verena,1,w,2
Taylor,1,m,2
Veronika,1,w,2
Tayyip,1,m,2
Veselinova,1,w,2
Teiresias,1,m,2
Viktorieva,1,w,2
Teodorov,1,m,2
Vy,1,w,2
Thido,1,m,2
Yade,1,w,2
Thomas,1,m,2
Yağmur,1,w,2
Thomas-Dieter,1,m,2
Ylvie,1,w,2
Timson,1,m,2
Zahra,1,w,2
Torben,1,m,2
Zahraa,1,w,2
Torsten,1,m,2
Zarina,1,w,2
Turay,1,m,2
Zazou,1,w,2
Ulrich,1,m,2
Zehra,1,w,2
Umar,1,m,2
Zelimkhanova,1,w,2
Ur,1,m,2
Zenaida,1,w,2
Uraz,1,m,2
Zoey,1,w,2
Vakkas,1,m,2
Zofia,1,w,2
Vasilev,1,m,2
Zoé,1,w,2
Vatan,1,m,2
Zurabovna,1,w,2
Viacheslavič,1,m,2
Viete,1,m,2
Vincenzo,1,m,2
Vito,1,m,2
Wassim,1,m,2
Werner,1,m,2
Wilhelm,1,m,2
William,1,m,2
Yahya,1,m,2
Yaman,1,m,2
Yanis,1,m,2
Yaron,1,m,2
Yasin,1,m,2
Yassin,1,m,2
Yiğit,1,m,2
Younes,1,m,2
Yousef,1,m,2
Youssef,1,m,2
Yves,1,m,2
Zacharias,1,m,2
Zakaria,1,m,2
Zaviyar,1,m,2
Zhana,1,m,2
Ziya,1,m,2
Zuri,1,m,2
Çinar,1,m,2
Ömer,1,m,2
Łukasz,1,m,2
Šimun,1,m,2
Aariyana,1,w,1
Abbigail,1,w,1
Abir,1,w,1
Acelya,1,w,1
Ada,1,w,1
Adele,1,w,1
Adnan,1,w,1
Adriana,1,w,1
Adrianna,1,w,1
Adrienne,1,w,1
Agata,1,w,1
Aiana,1,w,1
Aicha,1,w,1
Aidana,1,w,1
Aina,1,w,1
Aissa,1,w,1
Aişe,1,w,1
Ajna,1,w,1
Abbas,1,m,1
Alaa,1,w,1
Abbass,1,m,1
Alani,1,w,1
Abdallah,1,m,1
Alara,1,w,1
Abdel,1,m,1
Aleen,1,w,1
Abdoullah,1,m,1
Alenia,1,w,1
Abdulaziz,1,m,1
Alesha,1,w,1
Abou,1,m,1
Aleynanur-Zeynep,1,w,1
Abubakir,1,m,1
Alicia,1,w,1
Adel,1,m,1
Alisa,1,w,1
Adem,1,m,1
Aliyah,1,w,1
Adian,1,m,1
Alya,1,w,1
Adil,1,m,1
Alyanur,1,w,1
Adnan,1,m,1
Alysha,1,w,1
Adonis,1,m,1
Amadea,1,w,1
Adriano,1,m,1
Amali,1,w,1
Adriel,1,m,1
Amanda,1,w,1
Agon,1,m,1
Amani,1,w,1
Agyad,1,m,1
Ambla,1,w,1
Ahmed,1,m,1
Ami,1,w,1
Akay,1,m,1
Amila,1,w,1
Akeem,1,m,1
Amina,1,w,1
Alan,1,m,1
Ammelie,1,w,1
Aled,1,m,1
Amna,1,w,1
Alek,1,m,1
Amra,1,w,1
Aleks,1,m,1
Amélie,1,w,1
Aleksandar,1,m,1
Anaice,1,w,1
Alend,1,m,1
Anaïs,1,w,1
Alexandros,1,m,1
Andrea,1,w,1
Alexandru,1,m,1
Angela,1,w,1
Alexis,1,m,1
Angi,1,w,1
Aliano,1,m,1
Anike,1,w,1
Alican,1,m,1
Aniko,1,w,1
Alim,1,m,1
Anila,1,w,1
Almedin,1,m,1
Ann-Kathrin,1,w,1
Alparslan,1,m,1
Annelie,1,w,1
Alvar,1,m,1
Anni,1,w,1
Amer,1,m,1
Any,1,w,1
Amjed,1,m,1
Anysa,1,w,1
Ammar,1,m,1
Aria,1,w,1
Amos,1,m,1
Arina,1,w,1
Anas,1,m,1
Arinese,1,w,1
Anelio,1,m,1
Arwa,1,w,1
Aniel,1,m,1
Arzu,1,w,1
Anis,1,m,1
Asel,1,w,1
Ansgar,1,m,1
Aselya,1,w,1
Antoni,1,m,1
Asja,1,w,1
Antonio,1,m,1
Aslı,1,w,1
Antun,1,m,1
Asra,1,w,1
Anuel,1,m,1
Assetou,1,w,1
Anwar,1,m,1
Assyah,1,w,1
Arda,1,m,1
Asya-Züleyha,1,w,1
Arian,1,m,1
Asyah,1,w,1
Arion,1,m,1
Audrey,1,w,1
Arjun,1,m,1
Auguste,1,w,1
Armaan,1,m,1
Aurora,1,w,1
Arne,1,m,1
Avesta,1,w,1
Arno,1,m,1
Avşin,1,w,1
Aro,1,m,1
Ayah,1,w,1
Artur,1,m,1
Ayliaa-Sophie,1,w,1
Asaf,1,m,1
Aylina,1,w,1
Atakan,1,m,1
Aynur,1,w,1
Augustin,1,m,1
Aysu,1,w,1
Avan,1,m,1
Ayça,1,w,1
Ayan,1,m,1
Açelya,1,w,1
Ayman,1,m,1
Bade,1,w,1
Ayzun,1,m,1
Basima,1,w,1
Basil,1,m,1
Bayan,1,w,1
Batu,1,m,1
Begonya,1,w,1
Batuhan,1,m,1
Begüm,1,w,1
Bebi,1,m,1
Belkisa,1,w,1
Bedirhan,1,m,1
Bella,1,w,1
Beene,1,m,1
Berivan,1,w,1
Bekir,1,m,1
Berrin,1,w,1
Ben-Joel,1,m,1
Betiel,1,w,1
Ben-Lian,1,m,1
Betty-Lou,1,w,1
Ben-Louis,1,m,1
Bianca,1,w,1
Beniamin,1,m,1
Bissan,1,w,1
Benned,1,m,1
Bouchra,1,w,1
Beran,1,m,1
Briana,1,w,1
Berkan,1,m,1
Brooke,1,w,1
Berkay,1,m,1
Bushra,1,w,1
Berke,1,m,1
Cansu,1,w,1
Borhan,1,m,1
Carla,1,w,1
Bram,1,m,1
Carolina,1,w,1
Bućo-David,1,m,1
Catalina,1,w,1
Calle,1,m,1
Celia,1,w,1
Can,1,m,1
Cemre,1,w,1
Carlito,1,m,1
Cerys,1,w,1
Carlo-Bobi,1,m,1
Charlene,1,w,1
Cayden,1,m,1
Chiara,1,w,1
Cedric,1,m,1
Chioma,1,w,1
Cedrick,1,m,1
Chloey-Sophie,1,w,1
Cemil,1,m,1
Chloé,1,w,1
Cemçayan,1,m,1
Cila,1,w,1
Cengiz,1,m,1
Cloudeen,1,w,1
Cesurhan,1,m,1
Colette,1,w,1
Chernoh,1,m,1
Cornell,1,w,1
Chi-Sinh,1,m,1
Cristina-Antonia,1,w,1
Christos,1,m,1
Céline,1,w,1
Cihat,1,m,1
Dalyah,1,w,1
Ciro-Angelo,1,m,1
Danaja,1,w,1
Ciwancan,1,m,1
Daphne,1,w,1
Collin,1,m,1
Darin,1,w,1
Constantin-Adrian,1,m,1
Darla,1,w,1
Cruz,1,m,1
Darya,1,w,1
César,1,m,1
Deborah,1,w,1
Dalil,1,m,1
Defne,1,w,1
Damir,1,m,1
Delal,1,w,1
Dan,1,m,1
Demet,1,w,1
Danny,1,m,1
Derin,1,w,1
Danyel,1,m,1
Despina,1,w,1
Daors,1,m,1
Dilan,1,w,1
Daoud,1,m,1
Dilara,1,w,1
Darian,1,m,1
Dima,1,w,1
Dario,1,m,1
Dina,1,w,1
Darius,1,m,1
Djannah,1,w,1
Darjon,1,m,1
Dolunay,1,w,1
Daron,1,m,1
Dorela,1,w,1
Darwyn,1,m,1
Dua,1,w,1
Daryan,1,m,1
Duâ,1,w,1
Delal,1,m,1
Ece-Su,1,w,1
Delijan,1,m,1
Ecren,1,w,1
Delshad,1,m,1
Eda,1,w,1
Demiran,1,m,1
Edita,1,w,1
Denis,1,m,1
Edith,1,w,1
Dennis,1,m,1
Elaine,1,w,1
Destan,1,m,1
Elda,1,w,1
Deven,1,m,1
Elea,1,w,1
Devin,1,m,1
Eleana,1,w,1
Devran,1,m,1
Elianna,1,w,1
Devrim,1,m,1
Elien,1,w,1
Diar,1,m,1
Elijana,1,w,1
Diego,1,m,1
Eline,1,w,1
Dilber,1,m,1
Elinor,1,w,1
Dilxaz,1,m,1
Elisabeth,1,w,1
Djan,1,m,1
Elisaveta,1,w,1
Dominic,1,m,1
Elisia,1,w,1
Dominik,1,m,1
Eliyana,1,w,1
Donik,1,m,1
Eliz,1,w,1
Doruk,1,m,1
Eliza,1,w,1
Dragos,1,m,1
Ellie,1,w,1
Dries,1,m,1
Ellien,1,w,1
Dwayne,1,m,1
Elsa,1,w,1
Ebraam,1,m,1
Elvan,1,w,1
Ebubechukwu,1,m,1
Elçin,1,w,1
Ediz,1,m,1
Emilija,1,w,1
Eerik,1,m,1
Emina,1,w,1
Efe,1,m,1
Emine,1,w,1
Ekrem,1,m,1
Emra,1,w,1
Eldin,1,m,1
Enisa,1,w,1
Elian-Noah,1,m,1
Enni,1,w,1
Elican,1,m,1
Era,1,w,1
Elijah,1,m,1
Erika,1,w,1
Elikia,1,m,1
Erna,1,w,1
Eliyas,1,m,1
Erzana,1,w,1
Elián,1,m,1
Esilya,1,w,1
Eloghosa,1,m,1
Eslem,1,w,1
Elouan,1,m,1
Estelle,1,w,1
Emad,1,m,1
Evaluna,1,w,1
Emanuel,1,m,1
Evelina,1,w,1
Enhar,1,m,1
Evi,1,w,1
Enjo,1,m,1
Evina,1,w,1
Enno,1,m,1
Ezgi,1,w,1
Enrique,1,m,1
Fadia,1,w,1
Enver,1,m,1
Farizah,1,w,1
Eray,1,m,1
Felia,1,w,1
Eremia,1,m,1
Ferah,1,w,1
Eren,1,m,1
Filiz,1,w,1
Eren-Ali,1,m,1
Fine,1,w,1
Erfan,1,m,1
Finja,1,w,1
Eric,1,m,1
Flora,1,w,1
Erlind,1,m,1
Flora-Marie,1,w,1
Ersan,1,m,1
Florentine,1,w,1
Ersay,1,m,1
Franceska,1,w,1
Ertugrul,1,m,1
Freya,1,w,1
Ertuğrul,1,m,1
Fritzi,1,w,1
Ervin,1,m,1
Félice,1,w,1
Ethan,1,m,1
Galja,1,w,1
Etnik,1,m,1
Gamze,1,w,1
Evan,1,m,1
Genar,1,w,1
Ezel,1,m,1
Georgia,1,w,1
Ezra,1,m,1
Gesa,1,w,1
Fabio,1,m,1
Ghazal,1,w,1
Felicio,1,m,1
Grace,1,w,1
Ferdinand,1,m,1
Gözde,1,w,1
Ferdous,1,m,1
Gül,1,w,1
Ferhat,1,m,1
Gülnaz,1,w,1
Fiete,1,m,1
Ha,1,w,1
Finian,1,m,1
Hadassa,1,w,1
Finnik,1,m,1
Hafsa,1,w,1
Finnley,1,m,1
Hailey,1,w,1
Firat,1,m,1
Haily,1,w,1
Fjalar,1,m,1
Halise,1,w,1
Florian,1,m,1
Halla,1,w,1
Francesco,1,m,1
Hana,1,w,1
Frank,1,m,1
Hanan,1,w,1
Fred,1,m,1
Hanife,1,w,1
Friedrich,1,m,1
Hanim,1,w,1
Furkan,1,m,1
Hareem,1,w,1
Georges,1,m,1
Harley,1,w,1
Gerard-Ieremia,1,m,1
Hatice,1,w,1
Geronimo,1,m,1
Havin,1,w,1
Gerrit,1,m,1
Hawa,1,w,1
Ghazi,1,m,1
Hawaa,1,w,1
Ghedeon,1,m,1
Hawraa,1,w,1
Giosuè,1,m,1
Hayal,1,w,1
Gregor,1,m,1
Hayat,1,w,1
Görkem,1,m,1
Heda,1,w,1
Güney,1,m,1
Helene,1,w,1
Gürhan,1,m,1
Hella,1,w,1
Hanif,1,m,1
Henriette,1,w,1
Hannes,1,m,1
Hiba,1,w,1
Hanno,1,m,1
Hifa,1,w,1
Harry,1,m,1
Hilal,1,w,1
Harun,1,m,1
Hira-Naime,1,w,1
Hasan,1,m,1
Hiranur,1,w,1
Haydar,1,m,1
Hope,1,w,1
Hazar,1,m,1
Hosanna,1,w,1
Hector,1,m,1
Huda,1,w,1
Heinrich,1,m,1
Hurriya,1,w,1
Henk,1,m,1
Hüma-Ayşe,1,w,1
Heria,1,m,1
Hümaşah,1,w,1
Hermann,1,m,1
İkra,1,w,1
Hiroki,1,m,1
Ikra-Asel,1,w,1
Hussam,1,m,1
Ilenay,1,w,1
Hussein-Jamal,1,m,1
Iliana,1,w,1
Ianis,1,m,1
İlke,1,w,1
Ibad,1,m,1
Iman,1,w,1
Ibryam,1,m,1
Ina,1,w,1
Ijad,1,m,1
Inara,1,w,1
Ilijas,1,m,1
Inci-Su,1,w,1
İlyas,1,m,1
Inees,1,w,1
Imran,1,m,1
Inesa,1,w,1
Iosif-Neemia,1,m,1
Ino,1,w,1
Iosua,1,m,1
Insaf,1,w,1
İskender,1,m,1
Ireayo,1,w,1
Ismail,1,m,1
Irem,1,w,1
Ivano,1,m,1
Iris,1,w,1
Iwan,1,m,1
Isa,1,w,1
Jace,1,m,1
Isabel,1,w,1
Jacuib,1,m,1
Isabell,1,w,1
Jakoub,1,m,1
Isabelle,1,w,1
Jalil,1,m,1
Isalie,1,w,1
James,1,m,1
Isha,1,w,1
Jamil,1,m,1
Issraa,1,w,1
Jannick,1,m,1
Ivana,1,w,1
Janosch,1,m,1
Ivy,1,w,1
Jari,1,m,1
Izabela,1,w,1
Jaro,1,m,1
Izabella,1,w,1
Jasha,1,m,1
Izdihar,1,w,1
Jason,1,m,1
Janice,1,w,1
Jawad,1,m,1
Janna,1,w,1
Jed,1,m,1
Jannah,1,w,1
Jeremy,1,m,1
Jayda,1,w,1
Jesse,1,m,1
Jeanne,1,w,1
Joan,1,m,1
Jella,1,w,1
Johannes,1,m,1
Jellena,1,w,1
Jonathas,1,m,1
Jennifer,1,w,1
Jonke,1,m,1
Jessica,1,w,1
Jonte,1,m,1
Jinan,1,w,1
Joscha,1,m,1
Joana,1,w,1
Josep,1,m,1
Jody,1,w,1
José-Carlos,1,m,1
Joena,1,w,1
Joud,1,m,1
Jolanda,1,w,1
Joél,1,m,1
Joleen,1,w,1
Jujhar,1,m,1
Joleen-Elaine,1,w,1
Julio,1,m,1
Jolene-Marie,1,w,1
Junis,1,m,1
Jolie,1,w,1
Justin,1,m,1
Jolin-Ella,1,w,1
Jusuf,1,m,1
Jolina,1,w,1
János,1,m,1
Jolyn,1,w,1
Kadir,1,m,1
Josefine-Elisa,1,w,1
Kahed,1,m,1
Josy,1,w,1
Kahled,1,m,1
Joudy,1,w,1
Kai,1,m,1
Jouri,1,w,1
Kais,1,m,1
Joury,1,w,1
Kalle,1,m,1
Joyce,1,w,1
Karen,1,m,1
Juli,1,w,1
Karlos,1,m,1
Julie,1,w,1
Karol,1,m,1
Kaia,1,w,1
Kasper,1,m,1
Kaja,1,w,1
Kayra,1,m,1
Kalea,1,w,1
Kerim,1,m,1
Kalina,1,w,1
Keylan,1,m,1
Kamar,1,w,1
Khatib,1,m,1
Kandila,1,w,1
Khir,1,m,1
Karin,1,w,1
Kiam,1,m,1
Kate,1,w,1
Kian,1,m,1
Katerina,1,w,1
Kimi,1,m,1
Katharina,1,w,1
Kıvanç,1,m,1
Kayra,1,w,1
Kurt,1,m,1
Kenaya,1,w,1
Kürşad,1,m,1
Keyla,1,w,1
Lais,1,m,1
Khadije,1,w,1
Laurenz,1,m,1
Khalisah,1,w,1
Laurin,1,m,1
Kimberly,1,w,1
Lavi,1,m,1
Kinza,1,w,1
Lavy,1,m,1
Kira,1,w,1
Lawand,1,m,1
Koya,1,w,1
Layan,1,m,1
Kristina,1,w,1
Lazar,1,m,1
Kujtesa,1,w,1
Leart,1,m,1
Kyara,1,w,1
Ledion,1,m,1
Kyriaki-Kalliopi,1,w,1
Len,1,m,1
Kübra,1,w,1
Lennox,1,m,1
Lady,1,w,1
Lennox-Owen,1,m,1
Lamar,1,w,1
Lenz,1,m,1
Lamies,1,w,1
Leonardo,1,m,1
Lamis,1,w,1
Leonidas,1,m,1
Lania,1,w,1
Leonis,1,m,1
Larin,1,w,1
Lev,1,m,1
Laurie,1,w,1
Leve,1,m,1
Laurina,1,w,1
Levente,1,m,1
Lavǐn,1,w,1
Levio,1,m,1
Layla,1,w,1
Levy,1,m,1
Lea-Rey,1,w,1
Lewi,1,m,1
Lea-Sophie,1,w,1
Liam-Milano,1,m,1
Leah,1,w,1
Lias,1,m,1
Leana,1,w,1
Linus-Loyd,1,m,1
Leandra,1,w,1
Lio-Noël,1,m,1
Leen,1,w,1
Lionas,1,m,1
Leia,1,w,1
Lionel,1,m,1
Leian,1,w,1
Loar,1,m,1
Leilah,1,w,1
Loki,1,m,1
Lenia,1,w,1
Lonnie,1,m,1
Leona,1,w,1
Lord,1,m,1
Leonie-Franziska,1,w,1
Lorenz,1,m,1
Leticia,1,w,1
Lorian,1,m,1
Leyna,1,w,1
Loris,1,m,1
Liah-Lore,1,w,1
Louis-Valentin,1,m,1
Liana,1,w,1
Lovis,1,m,1
Liara,1,w,1
Luca-Elia,1,m,1
Liel,1,w,1
Ludwig,1,m,1
Lieselotte,1,w,1
Luigi,1,m,1
Lilian,1,w,1
Luka,1,m,1
Liliana,1,w,1
Lukas-Jermain,1,m,1
Lilith,1,w,1
Luke,1,m,1
Liliána,1,w,1
Luís,1,m,1
Liljana,1,w,1
Maddox,1,m,1
Lille,1,w,1
Maher,1,m,1
Lilya,1,w,1
Mahir-Efe,1,m,1
Limar,1,w,1
Mahmoud,1,m,1
Linea,1,w,1
Mahmud,1,m,1
Linn,1,w,1
Maisam,1,m,1
Lisbeth,1,w,1
Majd,1,m,1
Livia,1,w,1
Majed,1,m,1
Liyana,1,w,1
Maksim,1,m,1
Liyanna,1,w,1
Maksymilian,1,m,1
Lonia,1,w,1
Malte,1,m,1
Loreen,1,w,1
Manase,1,m,1
Lotte,1,w,1
Manolo,1,m,1
Love,1,w,1
Marc,1,m,1
Lowise,1,w,1
Marcello,1,m,1
Loïse,1,w,1
Mario,1,m,1
Luca,1,w,1
Marius,1,m,1
Lucie,1,w,1
Marku,1,m,1
Luena,1,w,1
Markus,1,m,1
Luiza,1,w,1
Marley,1,m,1
Lujain,1,w,1
Marlin,1,m,1
Luz,1,w,1
Marlon,1,m,1
Luzie,1,w,1
Marvin,1,m,1
Lycienne,1,w,1
Matas,1,m,1
Lydia,1,w,1
Matei,1,m,1
Lyia,1,w,1
Matei-Iosif,1,m,1
Léa,1,w,1
Mathew,1,m,1
Lönna,1,w,1
Matti,1,m,1
Lütfiye,1,w,1
Maurice,1,m,1
Lýdie,1,w,1
Maximillian,1,m,1
Madina,1,w,1
Mecit,1,m,1
Madison,1,w,1
Mehdi,1,m,1
Madlen,1,w,1
Mehmed,1,m,1
Maemo,1,w,1
Mehmet,1,m,1
Magalie,1,w,1
Melih,1,m,1
Maha,1,w,1
Mertcan,1,m,1
Mahana,1,w,1
Mervin,1,m,1
Mahdis,1,w,1
Metin,1,m,1
Mahirah,1,w,1
Mevlüt,1,m,1
Maia,1,w,1
Michael,1,m,1
Maila,1,w,1
Michele,1,m,1
Majd,1,w,1
Mick,1,m,1
Majlinda,1,w,1
Mihajlo,1,m,1
Mala,1,w,1
Mikael,1,m,1
Malou,1,w,1
Mikołai,1,m,1
Mandy,1,w,1
Milad,1,m,1
Margarete,1,w,1
Milan-Joel,1,m,1
Mariana,1,w,1
Milano,1,m,1
Marianela,1,w,1
Milos,1,m,1
Marianne,1,w,1
Min-ho,1,m,1
Marie-Julie,1,w,1
Miraç,1,m,1
Mariella,1,w,1
Mirnes,1,m,1
Marilou,1,w,1
Mishel,1,m,1
Marina,1,w,1
Mitch,1,m,1
Mariya,1,w,1
Mohamed-Ali,1,m,1
Marleen,1,w,1
Mohammadseid,1,m,1
Marlena,1,w,1
Morad,1,m,1
Marta,1,w,1
Morton,1,m,1
Martina,1,w,1
Moussa,1,m,1
Marya,1,w,1
Mubarak,1,m,1
Maryana,1,w,1
Muhamed,1,m,1
Mathilde,1,w,1
Munez,1,m,1
Maxine,1,w,1
Murad,1,m,1
Medea,1,w,1
Musa-Mirac,1,m,1
Meike,1,w,1
Naeem,1,m,1
Melda,1,w,1
Nasri,1,m,1
Meliha,1,w,1
Nasser,1,m,1
Melisa,1,w,1
Nassim,1,m,1
Melissa,1,w,1
Natan,1,m,1
Melissa-Dua,1,w,1
Nathaniel,1,m,1
Melody,1,w,1
Navid,1,m,1
Memory,1,w,1
Necati-Ömer,1,m,1
Menessa,1,w,1
Neemia,1,m,1
Mercedes,1,w,1
Nelio,1,m,1
Merve,1,w,1
Neo,1,m,1
Meryem-Şirin,1,w,1
Nevio,1,m,1
Meta,1,w,1
Nicklas,1,m,1
Michelle,1,w,1
Nico,1,m,1
Mila-Mijou,1,w,1
Nikolay,1,m,1
Miley,1,w,1
Nino,1,m,1
Milia,1,w,1
Niro,1,m,1
Milla,1,w,1
Niyazi,1,m,1
Millie,1,w,1
Noam,1,m,1
Milou,1,w,1
Noel-Nico,1,m,1
Mimi,1,w,1
Nolan,1,m,1
Minay,1,w,1
Noyan,1,m,1
Minna,1,w,1
Nuri,1,m,1
Mirela,1,w,1
Obay,1,m,1
Mirna,1,w,1
Okan,1,m,1
Moja,1,w,1
Oleksandr,1,m,1
Mona,1,w,1
Oliver,1,m,1
Mosimiloluwa,1,w,1
Omran,1,m,1
Nadia,1,w,1
Onoara,1,m,1
Nadin,1,w,1
Onur,1,m,1
Nadira,1,w,1
Otto,1,m,1
Naila,1,w,1
Oussama,1,m,1
Najat,1,w,1
Paavo,1,m,1
Nalia,1,w,1
Pablo,1,m,1
Nancy,1,w,1
Pan,1,m,1
Nani,1,w,1
Paolo,1,m,1
Naomi,1,w,1
Pascal,1,m,1
Natalia,1,w,1
Peter,1,m,1
Nato,1,w,1
Phil,1,m,1
Nay,1,w,1
Philias,1,m,1
Nayeli,1,w,1
Philip,1,m,1
Nayla,1,w,1
Pierre,1,m,1
Nazanin,1,w,1
Prince,1,m,1
Neea,1,w,1
Quin,1,m,1
Nefes,1,w,1
Qusay,1,m,1
Nefes-Ada,1,w,1
Rachid,1,m,1
Nehir,1,w,1
Raie,1,m,1
Nehir-Ada,1,w,1
Rakan,1,m,1
Nelia,1,w,1
Ramir,1,m,1
Nelly,1,w,1
Ramiz,1,m,1
Nermin,1,w,1
Redwan,1,m,1
Nevin,1,w,1
Rezan,1,m,1
Nia,1,w,1
Ricardo,1,m,1
Nicole,1,w,1
Rishi,1,m,1
Nihan,1,w,1
Rizan,1,m,1
Nilay,1,w,1
Rizwan,1,m,1
Niv,1,w,1
Robert,1,m,1
Noela,1,w,1
Robin,1,m,1
Nola,1,w,1
Rubin,1,m,1
Nomi,1,w,1
Rumo,1,m,1
Norela,1,w,1
Rêzan,1,m,1
Noura,1,w,1
Saad,1,m,1
Novalee,1,w,1
Sadek,1,m,1
Noémi,1,w,1
Salem,1,m,1
Nura,1,w,1
Samet,1,m,1
Nuran,1,w,1
Sami,1,m,1
Nurcan,1,w,1
Samih,1,m,1
Nursultan,1,w,1
Samir,1,m,1
Ofronelle,1,w,1
Santino,1,m,1
Ohna,1,w,1
